base 3-3
base-devel 1-2
btop 1.4.7-1
dunst 1.13.2-1
exo 4.20.0-2
fd 10.4.2-2
firefox 150.0.3-1
fzf 0.72.0-1
garcon 4.20.0-2
ghostty 1.3.1-2
git 2.54.0-1
grim 1.5.0-2
htop 3.5.1-1
hyprland 0.55.2-1
intel-media-driver 26.1.5-1
kitty 0.46.2-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-2
linux 7.0.8.arch1-1
linux-firmware 20260410-1
man-db 2.13.1-1
man-pages 6.18-1
mesa-utils 9.0.0-7
mousepad 0.7.0-1
neovim 0.12.2-1
networkmanager 1.56.1-1
noto-fonts 1:2026.05.01-1
noto-fonts-emoji 1:2.051-1
obsidian 1.12.7-2
openssh 10.3p1-1
parole 4.20.0-1
pavucontrol 1:6.2-1
pipewire-pulse 1:1.6.5-1
polkit-kde-agent 6.6.5-1
qt5-wayland 5.15.18+kde+r55-1
qt6-wayland 6.11.1-1
ripgrep 15.1.0-2
ristretto 0.14.0-1
sddm 0.21.0-6
slurp 1.5.0-2
starship 1.25.1-1
sudo 1.9.17.p2-2
thunar 4.20.8-3
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-volman 4.20.0-2
tmux 3.6_a-1
tree 2.3.2-1
ttf-jetbrains-mono-nerd 3.4.0-2
tumbler 4.20.1-1
unzip 6.0-23
vulkan-intel 1:26.0.6-1
waybar 0.15.0-2
wget 1.25.0-4
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
wofi 1.5.3-1
xdg-desktop-portal-hyprland 1.3.12-2
xfburn 0.8.0-1
xfce4-appfinder 4.20.0-2
xfce4-battery-plugin 1.2.0-1
xfce4-clipman-plugin 1.7.0-1
xfce4-cpufreq-plugin 1.3.0-1
xfce4-cpugraph-plugin 1.3.0-1
xfce4-dict 0.8.9-1
xfce4-diskperf-plugin 2.8.0-2
xfce4-eyes-plugin 4.7.0-1
xfce4-fsguard-plugin 1.2.0-1
xfce4-genmon-plugin 4.3.0-1
xfce4-mailwatch-plugin 1.4.0-1
xfce4-mount-plugin 1.2.0-1
xfce4-mpc-plugin 0.6.0-1
xfce4-netload-plugin 1.5.0-1
xfce4-notes-plugin 1.12.0-1
xfce4-notifyd 0.9.7-2
xfce4-panel 4.20.7-1
xfce4-places-plugin 1.9.0-1
xfce4-power-manager 4.20.0-3
xfce4-pulseaudio-plugin 0.5.1-1
xfce4-screensaver 4.20.2-1
xfce4-screenshooter 1.11.3-3
xfce4-sensors-plugin 1.5.0-2
xfce4-session 4.20.4-1
xfce4-settings 4.20.4-1
xfce4-smartbookmark-plugin 0.6.0-2
xfce4-systemload-plugin 1.4.0-1
xfce4-taskmanager 1.6.0-1
xfce4-terminal 1.2.0-1
xfce4-time-out-plugin 1.2.0-1
xfce4-timer-plugin 1.8.0-1
xfce4-verve-plugin 2.1.0-1
xfce4-wavelan-plugin 0.7.0-2
xfce4-weather-plugin 0.12.0-2
xfce4-whiskermenu-plugin 2.10.1-2
xfce4-xkb-plugin 0.9.0-1
xfconf 4.20.0-2
xfdesktop 4.20.2-1
xfwm4 4.20.0-2
yazi 26.5.6-2
zip 3.0-13
zsh 5.9-6
